created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2025-03-26T18:29:24+00:00,1,28.3,41.43,,,,,
2025-03-26T18:29:39+00:00,2,20.54,56.31,,,,,
2025-03-26T18:29:54+00:00,3,23.89,52.8,,,,,
2025-03-26T18:30:09+00:00,4,27.45,43.81,,,,,
2025-03-26T18:30:24+00:00,5,25.06,49.55,,,,,
2025-03-26T18:30:39+00:00,6,22.89,51.98,,,,,
2025-03-26T18:30:54+00:00,7,28.85,44.53,,,,,
2025-03-26T18:31:09+00:00,8,23.24,41.63,,,,,
2025-03-26T18:31:24+00:00,9,29.19,49.72,,,,,
2025-03-26T18:31:39+00:00,10,26.18,51.28,,,,,
2025-03-26T18:31:54+00:00,11,26.3,40.54,,,,,
2025-03-26T18:32:09+00:00,12,24.96,56.73,,,,,
2025-03-26T18:32:24+00:00,13,24.13,44.47,,,,,
2025-03-26T18:32:39+00:00,14,22.62,48.47,,,,,
2025-03-26T18:32:54+00:00,15,20.06,52.49,,,,,
2025-03-26T18:33:09+00:00,16,20.65,53.1,,,,,
2025-03-26T18:33:24+00:00,17,24.86,52.43,,,,,
2025-03-26T18:34:21+00:00,18,26.36,56.25,830.34,,,,
2025-03-26T18:34:36+00:00,19,26.75,58.88,401.86,,,,
2025-03-26T18:34:51+00:00,20,27.1,46.45,501.9,,,,
2025-03-26T18:35:58+00:00,21,7.86,82.19,1676.99,,,,
2025-03-26T18:36:13+00:00,22,8.95,95.02,873.81,,,,
2025-03-26T18:36:28+00:00,23,15.8,59.31,732.96,,,,
2025-03-26T18:36:43+00:00,24,-29.67,79.79,710.32,,,,
2025-03-26T18:36:58+00:00,25,6.77,62.47,1587.82,,,,
2025-03-26T18:37:13+00:00,26,42.36,56.13,1954.21,,,,
2025-03-26T18:37:28+00:00,27,-1.41,41.05,1195.23,,,,
2025-03-26T18:37:43+00:00,28,-44.49,56.12,1590.37,,,,
2025-03-26T18:37:58+00:00,29,31.03,68.06,824.55,,,,
2025-03-26T18:38:13+00:00,30,40.4,87.51,1851.08,,,,
2025-03-26T18:38:28+00:00,31,-41.18,26.9,1424.78,,,,
2025-03-26T18:38:43+00:00,32,-5.57,36.81,1284.38,,,,
2025-03-26T18:38:59+00:00,33,-45.71,30.75,1165.37,,,,
2025-03-26T18:39:14+00:00,34,48.47,85.38,722.43,,,,
2025-03-26T18:39:29+00:00,35,49.03,79.4,717.48,,,,
2025-03-26T18:39:43+00:00,36,-21.7,77.72,1114.76,,,,
2025-03-26T18:39:58+00:00,37,46.31,35.31,648.16,,,,
2025-03-26T18:40:14+00:00,38,-16.09,49.69,423.42,,,,
2025-03-26T18:40:29+00:00,39,-28.84,79.2,1717.62,,,,
2025-03-26T18:40:44+00:00,40,44.87,12.82,1611.32,,,,
2025-03-26T18:40:59+00:00,41,17.81,60.24,1466.9,,,,
2025-03-26T18:41:14+00:00,42,-18.37,4.05,466.79,,,,
2025-03-26T18:41:29+00:00,43,-39.63,11.22,1298.9,,,,
2025-03-26T18:41:44+00:00,44,-33.43,44.52,529.49,,,,
2025-03-26T18:41:59+00:00,45,-5.6,92.68,1402.99,,,,
2025-03-26T18:42:14+00:00,46,46.1,10.68,1537.7,,,,
2025-03-26T18:42:29+00:00,47,23.65,46.9,1784.53,,,,
2025-03-26T18:42:44+00:00,48,-17.94,98.72,1853.97,,,,
2025-03-26T18:42:59+00:00,49,-48.22,85.4,1007.58,,,,
2025-03-26T18:43:14+00:00,50,-2.74,9.52,746.35,,,,
2025-03-26T18:43:29+00:00,51,19.94,7.65,1972.72,,,,
2025-03-26T18:43:44+00:00,52,-49.54,82.71,346.95,,,,
2025-03-26T18:43:59+00:00,53,-29.87,64.45,772.48,,,,
2025-03-26T18:44:14+00:00,54,32.09,0.5,462.66,,,,
